,0
304,20208.0
305,20394.0
306,20421.285714285714
307,19613.14285714286
308,18127.0
309,16596.85714285714
310,14585.142857142857
311,12648.57142857143
312,10953.0
313,9591.57142857143
314,8954.57142857143
315,8905.142857142857
316,9216.142857142857
317,10127.57142857143
318,11215.42857142857
319,12466.0
320,14211.285714285714
321,16225.142857142857
322,18103.428571428572
323,20748.285714285714
324,22873.428571428572
325,25271.571428571428
326,27451.714285714286
327,29578.0
328,31149.571428571428
329,32294.714285714286
330,33005.857142857145
331,32951.71428571428
332,32407.571428571428
333,31203.285714285714
334,29308.0
335,26890.14285714286
336,24173.14285714286
337,21341.428571428572
338,18565.714285714286
339,16046.57142857143
340,14115.142857142857
341,13451.285714285714
342,13064.0
343,13879.142857142857
344,14720.285714285714
345,16292.714285714286
346,17924.571428571428
347,20019.714285714286
348,22647.571428571428
349,24681.714285714286
350,27191.85714285714
351,28740.428571428572
352,31508.714285714286
353,33245.57142857143
354,35055.57142857143
355,36490.28571428572
356,36990.857142857145
357,38371.142857142855
358,38382.142857142855
359,38542.28571428572
360,38002.142857142855
361,36457.0
362,34480.42857142857
363,31676.714285714286
364,28425.0
365,25276.714285714286
366,22631.0
367,21085.0
368,20679.714285714286
369,22170.0
370,23995.0
371,27011.0
372,31331.0
373,35379.57142857143
374,40060.28571428572
375,44781.857142857145
376,49014.0
377,51894.71428571428
378,53836.0
379,54259.57142857143
380,53918.71428571428
381,54193.57142857143
382,54354.857142857145
383,54715.142857142855
384,54483.0
385,53365.42857142857
386,51045.28571428572
387,47141.42857142857
388,40760.0
389,33953.71428571428
390,27451.428571428572
391,21301.85714285714
392,16142.57142857143
393,12276.57142857143
394,9359.142857142857
395,7930.142857142857
396,6820.142857142857
397,6621.571428571428
398,6846.571428571428
399,6847.142857142857
400,7613.428571428572
401,8135.857142857143
402,8840.142857142857
403,9860.857142857143
404,10748.714285714286
405,12392.0
406,13708.0
407,15362.714285714286
408,17169.428571428572
409,19194.85714285714
410,21380.428571428572
411,23162.14285714286
412,25434.0
413,26981.285714285714
414,27354.14285714286
415,27968.571428571428
416,27259.571428571428
417,25584.285714285714
418,23584.85714285714
419,21281.714285714286
420,18167.571428571428
421,15229.57142857143
422,12486.0
423,10245.0
424,8355.142857142857
425,6882.428571428572
426,5868.571428571428
427,5294.285714285715
428,5038.714285714285
429,4904.285714285715
430,4805.285714285715
431,5007.428571428572
432,5216.571428571428
433,5238.142857142857
434,5391.571428571428
435,5632.0
436,5965.428571428572
437,6193.571428571428
438,6432.142857142857
439,6816.714285714285
440,7226.571428571428
441,7680.714285714285
442,8375.42857142857
443,8909.142857142857
444,9895.142857142857
445,10944.857142857143
446,12535.857142857143
447,14064.57142857143
448,16386.14285714286
449,19115.0
450,21813.428571428572
451,24859.85714285714
452,27929.571428571428
453,30278.85714285714
454,32342.14285714286
455,33567.42857142857
456,34040.857142857145
457,32441.85714285714
458,30871.0
459,28475.285714285714
460,25693.85714285714
461,22606.14285714286
462,19580.714285714286
463,17178.14285714286
464,14967.285714285714
465,13095.42857142857
466,12099.0
467,10578.285714285714
468,9513.142857142857
469,8874.57142857143
470,8658.42857142857
471,8766.0
472,9252.0
473,9755.57142857143
474,10666.0
475,11605.57142857143
476,12914.714285714286
477,14455.285714285714
478,16475.571428571428
479,18958.714285714286
480,21998.428571428572
481,25504.285714285714
482,28709.0
483,32525.85714285714
484,35757.57142857143
485,38494.0
486,40143.28571428572
487,40740.57142857143
488,40234.0
489,38636.57142857143
490,35435.71428571428
491,31547.0
492,27071.428571428572
493,22591.285714285714
494,18470.0
495,14758.142857142857
496,11754.857142857143
497,9403.42857142857
498,7646.571428571428
499,6622.142857142857
500,6088.857142857143
501,5512.857142857143
502,5491.428571428572
503,5236.714285714285
504,5463.0
505,5550.714285714285
506,5711.714285714285
507,5920.142857142857
508,6274.857142857143
509,6698.857142857143
510,6928.428571428572
511,7266.857142857143
512,7854.285714285715
513,8410.57142857143
514,8921.42857142857
515,9485.714285714286
516,10425.0
517,11373.857142857143
518,12446.0
519,13499.285714285714
520,15290.285714285714
521,17153.14285714286
522,19013.85714285714
523,21076.0
524,23389.14285714286
525,25515.285714285714
526,27168.571428571428
527,28846.14285714286
528,29559.14285714286
529,29662.285714285714
530,28950.714285714286
531,27439.0
532,25179.0
533,22875.0
534,19564.714285714286
535,17048.85714285714
536,14304.42857142857
537,11622.42857142857
538,9908.285714285714
539,8089.714285714285
540,7007.0
541,6088.428571428572
542,5562.428571428572
543,5235.714285714285
544,4815.0
545,4661.571428571428
546,4638.857142857143
547,4420.714285714285
548,4379.857142857143
549,4348.571428571428
550,4254.714285714285
551,4385.857142857143
552,4179.714285714285
553,4223.142857142857
554,4126.142857142857
555,4281.857142857143
556,4139.428571428572
557,4127.285714285715
558,4142.142857142857
559,4133.714285714285
560,4079.285714285714
561,4043.0
562,4103.0
563,4077.8571428571427
564,4082.4285714285716
565,4141.714285714285
566,4215.857142857143
567,4160.428571428572
568,4106.428571428572
569,4148.714285714285
570,4288.714285714285
571,4338.142857142857
572,4469.428571428572
573,4591.857142857143
574,4546.857142857143
575,4659.428571428572
576,4841.714285714285
577,5055.714285714285
578,5286.142857142857
579,5650.0
580,5873.142857142857
581,6342.285714285715
582,6922.857142857143
583,7619.285714285715
584,8409.57142857143
585,9558.57142857143
586,11009.42857142857
587,12482.714285714286
588,14377.57142857143
589,16311.142857142857
590,18087.85714285714
591,19950.714285714286
592,21157.14285714286
593,22018.428571428572
594,21812.428571428572
595,20947.285714285714
596,19445.285714285714
597,17252.14285714286
598,14917.0
599,12245.714285714286
600,10037.0
601,8111.285714285715
602,6614.571428571428
603,5532.571428571428
604,4898.285714285715
605,4378.428571428572
606,4240.857142857143
607,4066.285714285714
608,3945.285714285714
609,3941.8571428571427
610,3933.1428571428573
611,3864.5714285714284
612,3886.1428571428573
613,3880.4285714285716
614,4013.714285714286
615,4018.285714285714
616,3921.285714285714
617,3980.285714285714
618,4040.0
619,4110.571428571428
620,4053.1428571428573
621,4237.571428571428
622,4193.714285714285
623,4135.142857142857
624,4099.428571428572
625,4168.0
626,4230.0
627,4091.285714285714
628,3981.0
629,4096.571428571428
630,4027.0
631,4154.428571428572
632,3973.4285714285716
633,3939.714285714286
634,4002.714285714286
635,3901.0
636,3908.714285714286
637,3943.0
638,3846.285714285714
639,3873.714285714286
640,3943.714285714286
641,3920.714285714286
642,3814.714285714286
643,3946.4285714285716
644,3878.8571428571427
645,3886.5714285714284
646,3775.0
647,3919.285714285714
648,3895.285714285714
649,3911.4285714285716
650,3871.714285714286
651,3846.5714285714284
652,3824.714285714286
653,3979.285714285714
654,3966.714285714286
655,3910.0
